Organism Name	Organism Taxonomic ID	Assembly Accession	Assembly Name	Assembly Release Date	Assembly BioSample Accession	Assembly BioProject Accession	Assembly BioProject Lineage Parent Accessions	Source Database
Amblyopsis spelaea	1195602	GCA_046255685.1	fAmbSpe1.hap1	2024-12-23	SAMN45063415	PRJNA1190973	PRJNA1200670	SOURCE_DATABASE_GENBANK
Amblyraja radiata	386614	GCA_010909745.1	sAmbRad1.alt	2020-02-14	SAMN09948523	PRJNA591368	PRJNA593039	SOURCE_DATABASE_GENBANK
Amblyraja radiata	386614	GCA_010909765.2	sAmbRad1.1.pri	2020-02-21	SAMN09948523	PRJNA591369	PRJNA593039	SOURCE_DATABASE_GENBANK
Amblysomus hottentotus	9391	GCA_054824785.1	mAmbHot1.hap2	2026-01-29	SAMN54576575	PRJNA1401909	PRJNA1404291	SOURCE_DATABASE_GENBANK
Amblysomus hottentotus	9391	GCA_054824725.1	mAmbHot1.hap1	2026-01-29	SAMN54576575	PRJNA1401908	PRJNA1404291	SOURCE_DATABASE_GENBANK
Amblyteles armatorius	231887	GCA_933228735.2	iyAmbArma2.2	2023-02-24	SAMEA7520946	PRJEB51578	PRJEB50791	SOURCE_DATABASE_GENBANK
Ambystoma mexicanum	8296	GCA_040938575.1	UKY_AmexF1_1	2024-07-30	SAMN43142723	PRJNA1104202	PRJNA1168523	SOURCE_DATABASE_GENBANK
Amia ocellicauda	2972642	GCA_036365475.1	fAmiCal2.hap2	2024-02-06	SAMN39643085	PRJNA1070664	PRJNA1072716	SOURCE_DATABASE_GENBANK
Amia ocellicauda	2972642	GCA_036373705.1	fAmiCal2.hap1	2024-02-06	SAMN39643085	PRJNA1070663	PRJNA1072716	SOURCE_DATABASE_GENBANK
Ammodytes dubius	1266862	GCA_050242835.1	fAmmDub1_a1.1	2025-05-07	SAMN42469312	PRJNA1153364	PRJNA813333,PRJNA1116774	SOURCE_DATABASE_GENBANK
Ammodytes dubius	1266862	GCA_050242895.1	fAmmDub1_p1.1	2025-05-07	SAMN42469312	PRJNA1153366	PRJNA813333,PRJNA1116774	SOURCE_DATABASE_GENBANK
Ammodytes marinus	146480	GCA_949987685.1	fAmmMar1.1	2023-05-03	SAMEA110137622	PRJEB61584	PRJEB60704	SOURCE_DATABASE_GENBANK
Ammodytes marinus	146480	GCA_950004245.1	fAmmMar1.1 alternate haplotype	2023-04-29	SAMEA110137622	PRJEB61583	PRJEB60704	SOURCE_DATABASE_GENBANK
Ammospiza caudacuta	2857398	GCA_027887135.1	bAmmCau1.alt	2023-01-17	SAMN28421630	PRJNA839451	PRJNA922976	SOURCE_DATABASE_GENBANK
Ammospiza caudacuta	2857398	GCA_027887145.1	bAmmCau1.pri	2023-01-18	SAMN28421630	PRJNA839452	PRJNA922976	SOURCE_DATABASE_GENBANK
Ammospiza leconteii	198935	GCA_055770255.1	ASM5577025v1	2026-03-10	SAMN52663876	PRJNA1307197	PRJNA489244	SOURCE_DATABASE_GENBANK
Ammospiza maritima maritima	3111550	GCA_036010785.1	bAmmMar1.pri	2024-01-24	SAMN39181024	PRJNA1060856	PRJNA1061555	SOURCE_DATABASE_GENBANK
