Organism Name	Organism Taxonomic ID	Assembly Accession	Assembly Name	Assembly Release Date	Assembly BioSample Accession	Assembly BioProject Accession	Assembly BioProject Lineage Parent Accessions	Source Database
Boloria freija	596533	GCA_964273415.1	ilCloFrei2.hap2.1	2024-10-03	SAMEA115575563	PRJEB80771	PRJEB80068	SOURCE_DATABASE_GENBANK
Boloria frigga	596534	GCA_964273715.1	ilCloFrig2.hap1.1	2024-10-05	SAMEA115575566	PRJEB80783	PRJEB80070	SOURCE_DATABASE_GENBANK
Boloria frigga	596534	GCA_964273685.1	ilCloFrig2.hap2.1	2024-10-04	SAMEA115575566	PRJEB80784	PRJEB80070	SOURCE_DATABASE_GENBANK
Boloria pales	405024	GCA_964275235.1	ilBolPale1.hap1.1	2024-10-28	SAMEA115109937	PRJEB81124	PRJEB80586	SOURCE_DATABASE_GENBANK
Boloria pales	405024	GCA_964275315.1	ilBolPale1.hap2.1	2024-10-25	SAMEA115109937	PRJEB81123	PRJEB80586	SOURCE_DATABASE_GENBANK
Boloria thore	977896	GCA_964338675.1	ilCloThor1.hap1.1	2024-11-09	SAMEA115109869	PRJEB82308	PRJEB80576	SOURCE_DATABASE_GENBANK
Boloria thore	977896	GCA_964338665.1	ilCloThor1.hap2.1	2024-11-08	SAMEA115109869	PRJEB82309	PRJEB80576	SOURCE_DATABASE_GENBANK
Boloria titania	596536	GCA_964270595.1	ilCloTita1.hap1.1	2024-09-29	SAMEA115109804	PRJEB80611	PRJEB78776	SOURCE_DATABASE_GENBANK
Boloria titania	596536	GCA_964270805.1	ilCloTita1.hap2.1	2024-09-29	SAMEA115109804	PRJEB80610	PRJEB78776	SOURCE_DATABASE_GENBANK
Bolosoma cyanae	3014158	GCA_964258925.1	ohBolCyan1.1	2024-09-05	SAMEA115473488	PRJEB79505	PRJEB78652	SOURCE_DATABASE_GENBANK
Bolosoma cyanae	3014158	GCA_964258935.1	ohBolCyan1.1 alternate haplotype	2024-09-06	SAMEA115473488	PRJEB79504	PRJEB78652	SOURCE_DATABASE_GENBANK
Bombina variegata	8348	GCA_964205295.1	aBomVar4.paternal.1	2024-07-29	SAMEA112651403	PRJEB76886	PRJEB74356	SOURCE_DATABASE_GENBANK
Bombina variegata	8348	GCA_964205305.1	aBomVar4.maternal.1	2024-07-29	SAMEA112651403	PRJEB76885	PRJEB74356	SOURCE_DATABASE_GENBANK
Bombus jonellus	85663	GCA_964197665.1	iyBomJone1.1	2024-07-03	SAMEA14448317	PRJEB77065	PRJEB64937	SOURCE_DATABASE_GENBANK
Bombus jonellus	85663	GCA_964197655.1	iyBomJone1.1 alternate haplotype	2024-07-03	SAMEA14448317	PRJEB77064	PRJEB64937	SOURCE_DATABASE_GENBANK
Bombus lapidarius	30192	GCA_964186655.1	iyBomLapi1.1	2024-06-07	SAMEA7521504	PRJEB76392	PRJEB66045	SOURCE_DATABASE_GENBANK
Bombus lapidarius	30192	GCA_964186665.1	iyBomLapi1.1 alternate haplotype	2024-06-07	SAMEA7521504	PRJEB76393	PRJEB66045	SOURCE_DATABASE_GENBANK
Bombus lucorum	30193	GCA_965261305.1	iyBomLuco1.1	2025-04-27	SAMEA112360818	PRJEB88850	PRJEB67403	SOURCE_DATABASE_GENBANK
Bombus lucorum	30193	GCA_965262655.1	iyBomLuco1.1 alternate haplotype	2025-04-27	SAMEA112360818	PRJEB88849	PRJEB67403	SOURCE_DATABASE_GENBANK
Bombus monticola	103936	GCA_965178685.1	iyBomMont4.1	2025-03-04	SAMEA112198363	PRJEB86336	PRJEB66738	SOURCE_DATABASE_GENBANK
Bombus monticola	103936	GCA_965178715.1	iyBomMont4.1 alternate haplotype	2025-03-04	SAMEA112198363	PRJEB86337	PRJEB66738	SOURCE_DATABASE_GENBANK
Bombus muscorum	203813	GCA_963971185.1	iyBomMusc1.1	2024-03-04	SAMEA14448357	PRJEB73467	PRJEB59139	SOURCE_DATABASE_GENBANK
Bombus muscorum	203813	GCA_963971125.1	iyBomMusc1.1 alternate haplotype	2024-03-04	SAMEA14448357	PRJEB73468	PRJEB59139	SOURCE_DATABASE_GENBANK
Bombus ruderatus	207645	GCA_977009165.1	iyBomRudr4.1	2025-10-19	SAMEA116283027	PRJEB91069	PRJEB96488	SOURCE_DATABASE_GENBANK
Brachmia blandella	1280453	GCA_965199015.1	ilBraBlan1.1	2025-03-13	SAMEA7701511	PRJEB86826	PRJEB71264	SOURCE_DATABASE_GENBANK
Brachmia blandella	1280453	GCA_965198705.1	ilBraBlan1.1 alternate haplotype	2025-03-13	SAMEA7701511	PRJEB86825	PRJEB71264	SOURCE_DATABASE_GENBANK
Brachmia inornatella	1594239	GCA_976918315.1	ilBraInor2.hap1.1	2025-10-26	SAMEA117573955	PRJEB97135	PRJEB96592	SOURCE_DATABASE_GENBANK
Brachmia inornatella	1594239	GCA_976914385.1	ilBraInor2.hap2.1	2025-10-26	SAMEA117573955	PRJEB97134	PRJEB96592	SOURCE_DATABASE_GENBANK
Brachycaudus cardui	224526	GCA_974392405.1	ihBraCard1.hap1.1	2025-10-09	SAMEA117578664	PRJEB97721	PRJEB96558	SOURCE_DATABASE_GENBANK
Brachycaudus cardui	224526	GCA_974392485.1	ihBraCard1.hap2.1	2025-10-26	SAMEA117578664	PRJEB97722	PRJEB96558	SOURCE_DATABASE_GENBANK
Brachycaudus klugkisti	486017	GCA_974392475.1	ihBraKlug1.hap1.1	2025-10-08	SAMEA117578649	PRJEB97723	PRJEB97286	SOURCE_DATABASE_GENBANK
Brachycaudus klugkisti	486017	GCA_974392445.1	ihBraKlug1.hap2.1	2025-10-26	SAMEA117578649	PRJEB97724	PRJEB97286	SOURCE_DATABASE_GENBANK
Brachydontium trichodes	226501	GCA_976131275.1	cbBraTric1.1	2025-10-10	SAMEA114214959	PRJEB96220	PRJEB94774	SOURCE_DATABASE_GENBANK
Brachypalpoides lentus	224232	GCA_965362245.1	idBraLent1.hap1.1	2025-06-12	SAMEA112964232	PRJEB90165	PRJEB77346	SOURCE_DATABASE_GENBANK
Brachypalpoides lentus	224232	GCA_965362235.1	idBraLent1.hap2.1	2025-06-08	SAMEA112964232	PRJEB90164	PRJEB77346	SOURCE_DATABASE_GENBANK
Brachyptera risi	446425	GCA_964007535.1	ipBraRisi1.1	2024-03-19	SAMEA7520806	PRJEB74020	PRJEB59800	SOURCE_DATABASE_GENBANK
Brachyptera risi	446425	GCA_964006585.1	ipBraRisi1.1 alternate haplotype	2024-03-19	SAMEA7520806	PRJEB74019	PRJEB59800	SOURCE_DATABASE_GENBANK
Brachythecium rutabulum	53005	GCA_965636905.1	cbBraRuta5.1	2025-07-09	SAMEA110449498	PRJEB91491	PRJEB80449	SOURCE_DATABASE_GENBANK
Branchiostoma lanceolatum	7740	GCA_964187965.1	klBraLanc2.hap1.1	2024-06-21	SAMEA111562176	PRJEB76728	PRJEB74948	SOURCE_DATABASE_GENBANK
Branchiostoma lanceolatum	7740	GCA_964188055.1	klBraLanc2.hap2.1	2024-06-19	SAMEA111562176	PRJEB76729	PRJEB74948	SOURCE_DATABASE_GENBANK
Branchipolynoe sp. SIO_BIC_A11809	3002669	GCA_975705595.1	wpBraSpea2.1 alternate haplotype	2025-10-28	SAMEA112639091	PRJEB97693	PRJEB87453	SOURCE_DATABASE_GENBANK
Branchipolynoe sp. SIO_BIC_A11809	3002669	GCA_975705955.1	wpBraSpea2.1	2025-10-26	SAMEA112639091	PRJEB97692	PRJEB87453	SOURCE_DATABASE_GENBANK
Branta canadensis	8853	GCA_965231335.1	bBraCan1.1	2025-03-29	SAMEA113398965	PRJEB87680	PRJEB75627	SOURCE_DATABASE_GENBANK
Branta canadensis	8853	GCA_965231325.1	bBraCan1.1 alternate haplotype	2025-03-28	SAMEA113398965	PRJEB87681	PRJEB75627	SOURCE_DATABASE_GENBANK
Branta leucopsis	184711	GCA_965642265.1	bBraLeu2.hap1.1	2025-07-19	SAMEA112468032	PRJEB93762	PRJEB73651	SOURCE_DATABASE_GENBANK
Branta leucopsis	184711	GCA_965642305.1	bBraLeu2.hap2.1	2025-07-15	SAMEA112468032	PRJEB93763	PRJEB73651	SOURCE_DATABASE_GENBANK
Brassica nigra	3710	GCA_964214035.1	ddBraNigr2.1	2024-08-27	SAMEA9337059	PRJEB78976	PRJEB68044	SOURCE_DATABASE_GENBANK
Brassica nigra	3710	GCA_964214075.1	ddBraNigr2.1 alternate haplotype	2024-08-27	SAMEA9337059	PRJEB78977	PRJEB68044	SOURCE_DATABASE_GENBANK
Braunia imberbis	1588651	GCA_976988665.1	cbBraImbe1.1	2025-11-07	SAMEA112690307	PRJEB98796	PRJEB97991	SOURCE_DATABASE_GENBANK
Breviolum minutum	2499525	GCA_965643015.1	pyBreMinu3.1	2025-07-19	SAMEA112966224	PRJEB93900	PRJEB87265	SOURCE_DATABASE_GENBANK
Breviolum psygmophilum	2518962	GCA_977036015.1	pyBrePsyg7.1	2025-11-13	SAMEA8579555	PRJEB102701	PRJEB72594	SOURCE_DATABASE_GENBANK
Briareum asbestinum	86543	GCA_977019185.1	jaBriAsbe3.1	2025-11-08	SAMEA12927256	PRJEB102243	PRJEB97651	SOURCE_DATABASE_GENBANK
Briareum asbestinum	86543	GCA_977019165.1	jaBriAsbe3.1 alternate haplotype	2025-11-08	SAMEA12927256	PRJEB102242	PRJEB97651	SOURCE_DATABASE_GENBANK
Brintesia circe	111891	GCA_964290925.1	ilBriCirc1.hap1.1	2024-10-28	SAMEA115110091	PRJEB81487	PRJEB80939	SOURCE_DATABASE_GENBANK
Brintesia circe	111891	GCA_964290935.1	ilBriCirc1.hap2.1	2024-10-25	SAMEA115110091	PRJEB81488	PRJEB80939	SOURCE_DATABASE_GENBANK
Bruchidius varius	256828	GCA_964204745.1	icBruVari1.hap1.1	2024-07-27	SAMEA113425637	PRJEB78407	PRJEB76325	SOURCE_DATABASE_GENBANK
Bruchidius varius	256828	GCA_964204965.1	icBruVari1.hap2.1	2024-07-28	SAMEA113425637	PRJEB78408	PRJEB76325	SOURCE_DATABASE_GENBANK
Bruchidius villosus	256915	GCA_965643515.1	icBruVill1.hap1.1	2025-07-19	SAMEA114805938	PRJEB93937	PRJEB80048	SOURCE_DATABASE_GENBANK
Bruchidius villosus	256915	GCA_965643565.1	icBruVill1.hap2.1	2025-07-19	SAMEA114805938	PRJEB93938	PRJEB80048	SOURCE_DATABASE_GENBANK
Bryoerythrophyllum caledonicum	1988022	GCA_963971425.1	cbBryCale10.1	2024-03-06	SAMEA13832370	PRJEB73528	PRJEB70980	SOURCE_DATABASE_GENBANK
Bryoerythrophyllum ferruginascens	644227	GCA_974117225.1	cbBryFerr6.1	2025-10-08	SAMEA10904388	PRJEB96414	PRJEB94732	SOURCE_DATABASE_GENBANK
Bryophila domestica	1660595	GCA_965153255.1	ilBryDome1.hap1.1	2025-02-26	SAMEA115163345	PRJEB85957	PRJEB85374	SOURCE_DATABASE_GENBANK
Bryophila domestica	1660595	GCA_965153275.1	ilBryDome1.hap2.1	2025-02-21	SAMEA115163345	PRJEB85956	PRJEB85374	SOURCE_DATABASE_GENBANK
Bryotropha affinis	1857973	GCA_965641975.1	ilBryAffi1.hap1.1	2025-07-18	SAMEA115574481	PRJEB92163	PRJEB89605	SOURCE_DATABASE_GENBANK
Bryotropha affinis	1857973	GCA_965641925.1	ilBryAffi1.hap2.1	2025-07-13	SAMEA115574481	PRJEB92162	PRJEB89605	SOURCE_DATABASE_GENBANK
Bryotropha similis	572820	GCA_976988725.1	ilBrySimi1.hap1.1	2025-11-07	SAMEA117574681	PRJEB98807	PRJEB96588	SOURCE_DATABASE_GENBANK
Bryotropha similis	572820	GCA_976988685.1	ilBrySimi1.hap2.1	2025-11-08	SAMEA117574681	PRJEB98808	PRJEB96588	SOURCE_DATABASE_GENBANK
Bryotropha terrella	1280429	GCA_964059635.1	ilBryTerr3.1	2024-06-06	SAMEA113425689	PRJEB76091	PRJEB74972	SOURCE_DATABASE_GENBANK
Bryotropha terrella	1280429	GCA_964059585.1	ilBryTerr3.1 alternate haplotype	2024-05-29	SAMEA113425689	PRJEB76090	PRJEB74972	SOURCE_DATABASE_GENBANK
Bubo scandiacus	371907	GCA_965212795.1	bBubSca1.1.h1	2025-03-20	SAMEA115805126	PRJEB77267	PRJEB79518	SOURCE_DATABASE_GENBANK
Bubo scandiacus	371907	GCA_965212775.1	bBubSca1.1.h2	2025-03-20	SAMEA115805126	PRJEB79513	PRJEB79518	SOURCE_DATABASE_GENBANK
Bucculatrix albedinella	1857974	GCA_977012955.1	ilBucAlbe1.hap2.1	2025-10-31	SAMEA117573950	PRJEB101234	PRJEB98958	SOURCE_DATABASE_GENBANK
Bucculatrix albedinella	1857974	GCA_977012585.1	ilBucAlbe1.hap1.1	2025-11-07	SAMEA117573950	PRJEB101235	PRJEB98958	SOURCE_DATABASE_GENBANK
Bucculatrix cidarella	1216039	GCA_977014655.1	ilBucCida1.hap1.1	2025-11-07	SAMEA117574069	PRJEB101659	PRJEB98516	SOURCE_DATABASE_GENBANK
Bucculatrix cidarella	1216039	GCA_977014625.1	ilBucCida1.hap2.1	2025-11-08	SAMEA117574069	PRJEB101658	PRJEB98516	SOURCE_DATABASE_GENBANK
Bucculatrix demaryella	753161	GCA_976919285.1	ilBucDema1.hap1.1	2025-10-09	SAMEA117574983	PRJEB97137	PRJEB96696	SOURCE_DATABASE_GENBANK
Bucculatrix demaryella	753161	GCA_976918305.1	ilBucDema1.hap2.1	2025-10-26	SAMEA117574983	PRJEB97136	PRJEB96696	SOURCE_DATABASE_GENBANK
Bucculatrix thoracella	1100929	GCA_965637495.1	ilBucThor1.1	2025-07-09	SAMEA114805684	PRJEB91632	PRJEB89314	SOURCE_DATABASE_GENBANK
Bucculatrix thoracella	1100929	GCA_965637435.1	ilBucThor1.1 alternate haplotype	2025-07-09	SAMEA114805684	PRJEB91631	PRJEB89314	SOURCE_DATABASE_GENBANK
Bucephala clangula	107022	GCA_964059595.1	bBucCla1.1	2024-06-06	SAMEA112468123	PRJEB76092	PRJEB68286	SOURCE_DATABASE_GENBANK
Bucephala clangula	107022	GCA_964059605.1	bBucCla1.1 alternate haplotype	2024-05-29	SAMEA112468123	PRJEB76093	PRJEB68286	SOURCE_DATABASE_GENBANK
Buddleja davidii	28540	GCA_965641825.1	daBudDavi1.hap1.1	2025-07-13	SAMEA7522522	PRJEB92039	PRJEB76365	SOURCE_DATABASE_GENBANK
Buddleja davidii	28540	GCA_965641805.1	daBudDavi1.hap2.1	2025-07-13	SAMEA7522522	PRJEB92040	PRJEB76365	SOURCE_DATABASE_GENBANK
Bugula neritina	10212	GCA_964035545.1	tzBugNeri2.1	2024-04-29	SAMEA112148689	PRJEB75343	PRJEB66388	SOURCE_DATABASE_GENBANK
Bugula neritina	10212	GCA_964035465.1	tzBugNeri2.1 alternate haplotype	2024-04-28	SAMEA112148689	PRJEB75342	PRJEB66388	SOURCE_DATABASE_GENBANK
Buteo buteo	30397	GCA_964188355.1	bButBut1.hap1.1	2024-06-21	SAMEA114594453	PRJEB76733	PRJEB74952	SOURCE_DATABASE_GENBANK
Buteo buteo	30397	GCA_964188375.1	bButBut1.hap2.1	2024-06-19	SAMEA114594453	PRJEB76732	PRJEB74952	SOURCE_DATABASE_GENBANK
Butyriboletus subappendiculatus	857007	GCA_964213195.1	gfButSuba1.1	2024-08-22	SAMEA113940516	PRJEB78720	PRJEB77553	SOURCE_DATABASE_GENBANK
Butyriboletus subappendiculatus	857007	GCA_964213175.1	gfButSuba1.1 alternate haplotype	2024-08-07	SAMEA113940516	PRJEB78719	PRJEB77553	SOURCE_DATABASE_GENBANK
Cabera exanthemata	934826	GCA_964340555.1	ilCabExan1.hap1.1	2024-11-18	SAMEA115163566	PRJEB82578	PRJEB82149	SOURCE_DATABASE_GENBANK
Cabera exanthemata	934826	GCA_964340675.1	ilCabExan1.hap2.1	2024-11-18	SAMEA115163566	PRJEB82577	PRJEB82149	SOURCE_DATABASE_GENBANK
Cacoecimorpha pronubana	287198	GCA_964271255.1	ilCacPron1.hap1.1	2024-09-29	SAMEA114805660	PRJEB80607	PRJEB78814	SOURCE_DATABASE_GENBANK
Cacoecimorpha pronubana	287198	GCA_964270745.1	ilCacPron1.hap2.1	2024-09-29	SAMEA114805660	PRJEB80606	PRJEB78814	SOURCE_DATABASE_GENBANK
Caecitellus pseudoparvulus	353214	GCA_965644315.1	puCaePseu1	2025-07-24	SAMEA118782988	PRJEB74635	PRJEB74638	SOURCE_DATABASE_GENBANK
Caenorhabditis agridulce	3233994	GCA_965217555.1	nxCaeAgri1.1	2025-03-23	SAMEA13831495	PRJEB87364	PRJEB87177	SOURCE_DATABASE_GENBANK
Caenorhabditis agridulce	3233994	GCA_965217795.1	nxCaeAgri1.1 alternate haplotype	2025-03-23	SAMEA13831495	PRJEB87363	PRJEB87177	SOURCE_DATABASE_GENBANK
Caenorhabditis angaria	860376	GCA_964213925.1	nxCaeAnga2.1	2024-08-22	SAMEA114007279	PRJEB78847	PRJEB87128	SOURCE_DATABASE_GENBANK
Caenorhabditis angaria	860376	GCA_964213915.1	nxCaeAnga2.1 alternate haplotype	2024-08-08	SAMEA114007279	PRJEB78848	PRJEB87128	SOURCE_DATABASE_GENBANK
Caenorhabditis astrocarya	2035511	GCA_965282815.1	nxCaeAstr2.1	2025-05-18	SAMEA114479592	PRJEB89540	PRJEB85212	SOURCE_DATABASE_GENBANK
Caenorhabditis astrocarya	2035511	GCA_965283035.1	nxCaeAstr2.1 alternate haplotype	2025-05-18	SAMEA114479592	PRJEB89541	PRJEB85212	SOURCE_DATABASE_GENBANK
Caenorhabditis dolens	2035512	GCA_965231745.1	nxCaeDole2.1	2025-03-29	SAMEA114479593	PRJEB87684	PRJEB85214	SOURCE_DATABASE_GENBANK
Caenorhabditis dolens	2035512	GCA_965231735.1	nxCaeDole2.1 alternate haplotype	2025-03-29	SAMEA114479593	PRJEB87685	PRJEB85214	SOURCE_DATABASE_GENBANK
Caenorhabditis kamaaina	1094325	GCA_964211945.1	nxCaeKama1.1	2024-11-08	SAMEA13373531	PRJEB78582	PRJEB87130	SOURCE_DATABASE_GENBANK
Caenorhabditis kamaaina	1094325	GCA_964212045.1	nxCaeKama1.1 alternate haplotype	2024-11-07	SAMEA13373531	PRJEB78581	PRJEB87130	SOURCE_DATABASE_GENBANK
Caenorhabditis macrosperma	1094328	GCA_963932285.1	nxCaeMacr1.1	2024-02-07	SAMEA13936222	PRJEB72325	PRJEB87078	SOURCE_DATABASE_GENBANK
Caenorhabditis macrosperma	1094328	GCA_963932405.1	nxCaeMacr1.1 alternate haplotype	2024-02-07	SAMEA13936222	PRJEB72326	PRJEB87078	SOURCE_DATABASE_GENBANK
Caenorhabditis monodelphis	1094320	GCA_964197825.1	nxCaeMono1.1	2024-07-08	SAMEA9920669	PRJEB77269	PRJEB87072	SOURCE_DATABASE_GENBANK
Caenorhabditis monodelphis	1094320	GCA_964197835.1	nxCaeMono1.1 alternate haplotype	2024-07-07	SAMEA9920669	PRJEB77268	PRJEB87072	SOURCE_DATABASE_GENBANK
Caenorhabditis parvicauda	2305859	GCA_963978915.1	nxCaeParv1.1	2024-03-10	SAMEA112150823	PRJEB73705	PRJEB87104	SOURCE_DATABASE_GENBANK
Caenorhabditis parvicauda	2305859	GCA_963978825.1	nxCaeParv1.1 alternate haplotype	2024-03-10	SAMEA112150823	PRJEB73706	PRJEB87104	SOURCE_DATABASE_GENBANK
Caenorhabditis plicata	281681	GCA_963931815.1	nxCaePlic1.1	2024-02-06	SAMEA14344495	PRJEB72229	PRJEB87074	SOURCE_DATABASE_GENBANK
Caenorhabditis plicata	281681	GCA_963931775.1	nxCaePlic1.1 alternate haplotype	2024-02-01	SAMEA14344495	PRJEB72230	PRJEB87074	SOURCE_DATABASE_GENBANK
Caenorhabditis quiockensis	2305861	GCA_964198105.1	nxCaeQuio2.1	2024-07-12	SAMEA114007277	PRJEB77423	PRJEB87088	SOURCE_DATABASE_GENBANK
Caenorhabditis quiockensis	2305861	GCA_964198135.1	nxCaeQuio2.1 alternate haplotype	2024-07-12	SAMEA114007277	PRJEB77422	PRJEB87088	SOURCE_DATABASE_GENBANK
Caenorhabditis sinica	1550068	GCA_963932045.1	nxCaeSini1.1	2024-02-07	SAMEA13456509	PRJEB72288	PRJEB87066	SOURCE_DATABASE_GENBANK
Caenorhabditis sinica	1550068	GCA_963932085.1	nxCaeSini1.1 alternate haplotype	2024-02-07	SAMEA13456509	PRJEB72289	PRJEB87066	SOURCE_DATABASE_GENBANK
Caenorhabditis sp. BRC20454	2883081	GCA_965643545.1	nxCaeSpei1.1	2025-07-19	SAMEA111463892	PRJEB93950	PRJEB87183	SOURCE_DATABASE_GENBANK
Caenorhabditis sp. BRC20454	2883081	GCA_965643645.1	nxCaeSpei1.1 alternate haplotype	2025-07-19	SAMEA111463892	PRJEB93949	PRJEB87183	SOURCE_DATABASE_GENBANK
Caenorhabditis sp. BRC20456	2883082	GCA_965234085.1	nxCaeSpeh1.1 alternate haplotype	2025-04-04	SAMEA110187304	PRJEB87997	PRJEB87187	SOURCE_DATABASE_GENBANK
Caenorhabditis sp. BRC20456	2883082	GCA_965234095.1	nxCaeSpeh1.1	2025-04-06	SAMEA110187304	PRJEB87996	PRJEB87187	SOURCE_DATABASE_GENBANK
Caenorhabditis sp. BRC20483	2883084	GCA_965234065.1	nxCaeSpef1.1 alternate haplotype	2025-04-04	SAMEA111463889	PRJEB87994	PRJEB87179	SOURCE_DATABASE_GENBANK
Caenorhabditis sp. BRC20483	2883084	GCA_965234135.1	nxCaeSpef1.1	2025-04-06	SAMEA111463889	PRJEB87995	PRJEB87179	SOURCE_DATABASE_GENBANK
Caenorhabditis sp. DF5070	281686	GCA_964204685.1	nxCaeSpej1.1	2024-07-27	SAMEA114007273	PRJEB78387	PRJEB87134	SOURCE_DATABASE_GENBANK
Caenorhabditis sp. DF5070	281686	GCA_964204725.1	nxCaeSpej1.1 alternate haplotype	2024-07-27	SAMEA114007273	PRJEB78388	PRJEB87134	SOURCE_DATABASE_GENBANK
Caenorhabditis sulstoni	2305862	GCA_963966605.1	nxCaeSuls1.1	2024-02-24	SAMEA114009107	PRJEB72755	PRJEB87096	SOURCE_DATABASE_GENBANK
Caenorhabditis sulstoni	2305862	GCA_963966565.1	nxCaeSuls1.1 alternate haplotype	2024-02-24	SAMEA114009107	PRJEB72756	PRJEB87096	SOURCE_DATABASE_GENBANK
Caenorhabditis virilis	1094323	GCA_964036255.1	nxCaeViri1.1	2024-05-12	SAMEA9417866	PRJEB75596	PRJEB87076	SOURCE_DATABASE_GENBANK
Caenorhabditis virilis	1094323	GCA_964036165.1	nxCaeViri1.1 alternate haplotype	2024-05-11	SAMEA9417866	PRJEB75597	PRJEB87076	SOURCE_DATABASE_GENBANK
Caenorhabditis waitukubuli	2305864	GCA_965219145.1	nxCaeWait2.1	2025-03-23	SAMEA112194703	PRJEB87366	PRJEB87185	SOURCE_DATABASE_GENBANK
Caenorhabditis waitukubuli	2305864	GCA_965218015.1	nxCaeWait2.1 alternate haplotype	2025-03-23	SAMEA112194703	PRJEB87365	PRJEB87185	SOURCE_DATABASE_GENBANK
Caenorhabditis wallacei	1094326	GCA_963932035.1	nxCaeWall1.1	2024-02-07	SAMEA112132452	PRJEB72295	PRJEB87070	SOURCE_DATABASE_GENBANK
Caenorhabditis wallacei	1094326	GCA_963932055.1	nxCaeWall1.1 alternate haplotype	2024-02-07	SAMEA112132452	PRJEB72294	PRJEB87070	SOURCE_DATABASE_GENBANK
Caenorhabditis zanzibari	2306312	GCA_963966625.1	nxCaeZanz1.1	2024-02-24	SAMEA7996543	PRJEB72762	PRJEB87062	SOURCE_DATABASE_GENBANK
Caenorhabditis zanzibari	2306312	GCA_963966575.1	nxCaeZanz1.1 alternate haplotype	2024-02-24	SAMEA7996543	PRJEB72761	PRJEB87062	SOURCE_DATABASE_GENBANK
Calamia tridens	997549	GCA_973571095.1	ilCalTrid2.2	2025-10-09	SAMEA117079330	PRJEB94615	PRJEB94616	SOURCE_DATABASE_GENBANK
Calathus melanocephalus	127479	GCA_966096355.1	icCalMela1.hap1.1	2025-08-23	SAMEA114644843	PRJEB95786	PRJEB79694	SOURCE_DATABASE_GENBANK
Calathus melanocephalus	127479	GCA_966112745.1	icCalMela1.hap2.1	2025-08-12	SAMEA114644843	PRJEB95785	PRJEB79694	SOURCE_DATABASE_GENBANK
Calendula officinalis	41496	GCA_963853825.1	daCalOffi1.1 alternate haplotype	2023-12-12	SAMEA9143046	PRJEB71005	PRJEB65692	SOURCE_DATABASE_GENBANK
Calendula officinalis	41496	GCA_963853835.1	daCalOffi1.1	2023-12-12	SAMEA9143046	PRJEB71004	PRJEB65692	SOURCE_DATABASE_GENBANK
Calliactis parasitica	6114	GCA_964340385.1	jaCalPara1.1	2024-11-14	SAMEA116997601	PRJEB82481	PRJEB82482	SOURCE_DATABASE_GENBANK
Calliergon cordifolium	671105	GCA_964639475.2	cbCalCord2.2	2025-10-26	SAMEA111383330	PRJEB83291	PRJEB80509	SOURCE_DATABASE_GENBANK
Callista chione	78549	GCA_964377925.1	xbCalChio1.1	2024-12-01	SAMEA117398747	PRJEB82960	PRJEB82961	SOURCE_DATABASE_GENBANK
Calliteara pudibunda	875926	GCA_965615895.1	ilCalPudi2.1	2025-07-08	SAMEA111457921	PRJEB90970	PRJEB76359	SOURCE_DATABASE_GENBANK
Calliteara pudibunda	875926	GCA_965615845.1	ilCalPudi2.1 alternate haplotype	2025-07-07	SAMEA111457921	PRJEB90971	PRJEB76359	SOURCE_DATABASE_GENBANK
Callitriche obtusangula	1155256	GCA_965117245.1	daCalObtu1.hap1.1	2025-01-25	SAMEA110450303	PRJEB85140	PRJEB81003	SOURCE_DATABASE_GENBANK
Callitriche obtusangula	1155256	GCA_965117135.1	daCalObtu1.hap2.1	2025-01-25	SAMEA110450303	PRJEB85141	PRJEB81003	SOURCE_DATABASE_GENBANK
Callogorgia gracilis	1309697	GCA_964204845.1	jaCalGrac1.1	2024-07-27	SAMEA113581028	PRJEB78395	PRJEB75667	SOURCE_DATABASE_GENBANK
Callogorgia gracilis	1309697	GCA_964204815.1	jaCalGrac1.1 alternate haplotype	2024-07-27	SAMEA113581028	PRJEB78396	PRJEB75667	SOURCE_DATABASE_GENBANK
Callophrys avis	700180	GCA_965178315.1	ilCalAvis1.hap1.1	2025-03-04	SAMEA115768742	PRJEB86228	PRJEB85003	SOURCE_DATABASE_GENBANK
Callophrys avis	700180	GCA_965178185.1	ilCalAvis1.hap2.1	2025-03-04	SAMEA115768742	PRJEB86227	PRJEB85003	SOURCE_DATABASE_GENBANK
Callopistria juventina	1341252	GCA_973404285.1	ilCalJuve2.hap1.1	2025-10-11	SAMEA115948984	PRJEB96440	PRJEB82268	SOURCE_DATABASE_GENBANK
Callopistria juventina	1341252	GCA_964396545.1	ilCalJuve1.hap2.1	2024-12-03	SAMEA115949026	PRJEB83017	PRJEB82268	SOURCE_DATABASE_GENBANK
Callopistria juventina	1341252	GCA_964396815.1	ilCalJuve1.hap1.1	2024-12-04	SAMEA115949026	PRJEB83018	PRJEB82268	SOURCE_DATABASE_GENBANK
Callopistria juventina	1341252	GCA_973367555.1	ilCalJuve2.hap2.1	2025-10-26	SAMEA115948984	PRJEB96441	PRJEB82268	SOURCE_DATABASE_GENBANK
Calluna vulgaris	13385	GCA_964145215.1	ddCalVulg4.hap2.1	2024-06-06	SAMEA111501838	PRJEB76199	PRJEB74151	SOURCE_DATABASE_GENBANK
Calluna vulgaris	13385	GCA_964145725.1	ddCalVulg4.hap1.1	2024-06-06	SAMEA111501838	PRJEB76200	PRJEB74151	SOURCE_DATABASE_GENBANK
